player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Ronnie O'Sullivan,Scott Donaldson,7,1666,1244,0.9215618734478545,0.7417338799314313,1025,777,9134,5538,114,61,751,379,291,185,894,570,208,105,741,374,4,0,0.0,1.0,1041
Fergal O'Brien,Michael Holt,7,1348,1347,0.5013671846516985,0.5006249996744794,706,405,5525,2922,595,351,4473,2383,202,112,747,390,288,152,969,516,4,3,0.0,0.5714285714285714,1041
Neil Robertson,Shaun Murphy,7,1554,1503,0.569350718877824,0.5318318894162243,658,430,4944,2795,735,475,5565,3147,428,251,1745,1025,391,235,1519,856,2,4,1.0,0.33333333333333337,1041
Jimmy Robertson,John Higgins,7,1335,1411,0.39732956508066253,0.45264238185691064,314,168,2109,1083,1119,792,9221,5438,276,151,861,448,298,165,1174,678,2,4,1.0,0.33333333333333337,1041
Barry Hawkins,Stephen Maguire,7,1461,1520,0.4199168086394935,0.4631917100110195,687,421,4997,2768,696,466,5237,2985,362,200,1528,863,370,230,1514,886,4,0,0.0,1.0,1041
Sam Baird,Anthony Hamilton,7,1289,1356,0.4092473522241252,0.45822263071636327,213,114,1462,757,702,413,5543,2981,205,106,794,415,149,74,729,380,3,4,1.0,0.4285714285714286,1041
Gerard Greene,Ricky Walden,7,1157,1517,0.112285366113914,0.289050497374996,603,329,4588,2409,587,364,4310,2404,137,62,605,281,425,258,1412,790,4,1,0.0,0.8,1041
Mark Selby,David Gilbert,7,1636,1316,0.8605948171135657,0.6899744811276125,773,525,5658,3264,359,200,2779,1468,344,211,1771,1076,182,90,862,461,0,4,1.0,0.0,1041
Gary Wilson,Marco Fu,7,1288,1466,0.271724888745416,0.39055021637167475,264,158,1679,927,645,382,4890,2648,145,66,629,350,306,172,1287,729,0,4,1.0,0.0,1041
Yu Delu,Liang Wenbo,7,1308,1385,0.3960114084386784,0.4520230623632036,166,85,1155,595,381,222,2616,1433,162,81,797,421,241,129,978,549,4,2,0.0,0.6666666666666666,1041
Ryan Day,Stuart Bingham,7,1410,1469,0.4199168086394935,0.4631917100110195,629,382,4599,2536,786,494,5899,3346,338,194,1155,617,403,248,1510,868,4,3,0.0,0.5714285714285714,1041
Mark Allen,Jamie Jones,7,1547,1345,0.7545108097932872,0.623633628298226,532,338,3603,2018,352,213,2336,1276,299,173,1243,745,251,139,885,469,4,2,0.0,0.6666666666666666,1041
