player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Paul Burrell,Francisco Domingues,7,877,933,0.4239345393092091,0.4650570548417855,27,6,158,55,8,2,36,9,17,5,58,21,0,0,0,0,3,4,1.0,0.4285714285714286,2880
Curtis Daher,Rishi Gohill,7,1004,1000,0.5054685677142574,0.5024999791668749,4,2,20,9,0,0,0,0,0,0,20,9,0,0,0,0,4,1,0.0,0.8,2880
James Cahill,Callum Lloyd,7,1356,1015,0.8753745152338872,0.7010913114266953,192,77,1263,575,40,16,210,97,176,83,447,233,52,31,86,49,4,1,0.0,0.8,2880
Abid Manzoor,James Budd,7,984,980,0.5054685677142576,0.5024999791668749,1,0,4,0,2,0,11,3,0,0,4,0,0,0,11,3,2,4,1.0,0.33333333333333337,2880
Iulian Boiko,Sean Maddocks,7,989,1034,0.4387350506415305,0.4719046255916129,13,4,73,29,17,10,94,47,41,19,73,29,43,22,94,47,4,1,0.0,0.8,2880
Martin Pitcher,David Alcaide,7,1000,984,0.5218633393972988,0.5099986668799654,6,3,34,16,1,0,4,0,0,0,34,16,0,0,4,0,1,4,1.0,0.19999999999999996,2880
Omar Alajlani,Aaron Graham,7,960,993,0.4549849461247727,0.4793866902855513,9,3,43,14,3,1,15,7,18,4,43,14,0,0,15,7,4,0,0.0,1.0,2880
Mark Winsor,Henry Roper,7,1000,898,0.6364932182719292,0.5634067862621936,0,0,0,0,13,2,67,21,0,0,0,0,0,0,0,0,4,1,0.0,0.8,2880
Adrian Holmes,Ronan Whyte,7,1000,958,0.5572116034252292,0.5262259093720687,0,0,0,0,8,2,38,11,0,0,0,0,19,5,38,11,0,4,1.0,0.0,2880
Christopher Watts,Aymn Alamri,7,1001,1000,0.5013671846516985,0.5006249996744794,4,2,17,8,0,0,0,0,0,0,9,4,0,0,0,0,4,1,0.0,0.8,2880
