player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Matthew Selt,Chris Wakelin,9,1397,1291,0.6583974652784721,0.5658650028954817,473,260,3301,1735,127,66,856,432,186,100,1091,622,190,93,644,323,5,4,0.0,0.5555555555555556,1354
Noppon Saengkham,Neil Robertson,9,1243,1542,0.1271236946195662,0.3213662821477785,153,65,1099,505,791,518,5828,3324,178,86,688,326,239,141,1312,780,5,3,0.0,0.625,1354
Jimmy Robertson,Anthony McGill,9,1382,1498,0.3276296057789573,0.4280038670684813,400,217,2690,1400,390,240,2560,1424,181,105,857,468,330,194,1048,587,5,3,0.0,0.625,1354
Tian Pengfei,Barry Hawkins,9,1292,1536,0.1752131980720686,0.3520591979193497,315,178,2095,1121,807,500,5818,3235,103,40,664,362,283,171,1183,667,5,4,0.0,0.5555555555555556,1354
Martin O'Donnell,Joe Swail,9,1232,1229,0.5046141496682656,0.5018749912109869,248,117,1525,758,787,424,6209,3234,129,62,492,255,139,67,715,365,5,2,0.0,0.7142857142857143,1354
Shaun Murphy,David Grace,9,1536,1294,0.8228339524244989,0.6467993925579857,908,596,6710,3834,273,127,1812,877,270,156,1536,922,166,86,556,260,5,3,0.0,0.625,1354
Robert Milkins,Ross Muir,9,1348,1144,0.7830139367356328,0.6248064744684293,751,456,5585,3045,110,40,738,323,242,126,1093,579,132,56,521,222,5,4,0.0,0.5555555555555556,1354
Mitchell Mann,Rory McLeod,9,1221,1234,0.48001367903024117,0.4918757150937392,194,90,1227,594,509,277,3823,1989,172,77,464,207,144,64,582,281,0,5,1.0,0.0,1354
Stephen Maguire,Gary Wilson,9,1479,1348,0.6928574316362668,0.5811509642893937,826,547,6087,3464,341,199,2206,1203,283,169,1220,709,172,91,672,342,5,3,0.0,0.625,1354
Jack Lisowski,Michael White,9,1324,1358,0.4478620537661791,0.4787627850337259,337,198,2213,1196,382,220,2636,1409,187,99,686,354,234,121,1036,560,5,1,0.0,0.8333333333333334,1354
Rod Lawler,Peter Lines,9,1229,1282,0.4190735991048983,0.4669233776338953,765,417,5873,3052,720,390,5279,2745,177,79,743,370,187,99,605,290,5,1,0.0,0.8333333333333334,1354
Ali Carter,Mark King,9,1502,1375,0.6874521458116047,0.5787148624601339,816,493,5843,3221,845,471,6254,3278,356,203,912,507,232,126,929,496,2,5,1.0,0.2857142857142857,1354
Luca Brecel,Mark Joyce,9,1386,1304,0.6239511835050622,0.5510712693073421,243,131,1687,889,395,207,2861,1454,247,138,827,456,158,76,669,340,2,5,1.0,0.2857142857142857,1354
Nigel Bond,Michael Holt,9,1262,1476,0.2060106201362304,0.36935147434892557,816,452,6507,3429,723,428,5342,2859,156,70,536,253,387,218,1157,628,2,5,1.0,0.2857142857142857,1354
James Wattana,Darryl Hill,9,1193,976,0.7972134349638328,0.6323937895695628,777,428,6572,3462,50,14,326,123,170,80,433,186,69,13,230,78,3,5,1.0,0.375,1354
Zhou Yuelong,John Higgins,9,1336,1573,0.1821110958773352,0.356061444034367,113,61,783,408,1290,915,10412,6157,216,112,619,329,430,264,1489,884,2,5,1.0,0.2857142857142857,1354
David Gilbert,Gerard Greene,9,1479,1291,0.7647323039706795,0.6153837563911821,484,277,3584,1924,660,360,4954,2601,297,174,987,546,91,48,503,254,5,1,0.0,0.8333333333333334,1354
Yu Delu,Marco Fu,9,1236,1510,0.14764624750232103,0.3351462695940264,226,115,1580,800,788,470,5892,3214,156,68,587,286,325,194,1308,738,2,5,1.0,0.2857142857142857,1354
Mike Dunn,Alan McManus,9,1264,1477,0.2070923655287575,0.3699339917149817,647,345,4801,2477,877,525,7395,3929,163,77,722,380,255,134,973,538,5,4,0.0,0.5555555555555556,1354
Matthew Stevens,Graeme Dott,9,1389,1348,0.562786621080446,0.5256025883246178,883,520,6884,3759,765,450,5945,3188,215,122,798,419,195,98,995,556,1,5,1.0,0.16666666666666663,1354
Dechawat Poomjaeng,Ryan Day,9,1269,1417,0.2846686220535446,0.40854102156721994,221,118,1597,813,798,484,5611,3098,142,69,748,386,295,168,1350,756,4,5,1.0,0.4444444444444444,1354
Jamie Jones,Dominic Dale,9,1363,1376,0.48001367903024117,0.4918757150937392,438,266,2912,1588,843,488,6114,3267,190,103,827,451,302,164,1113,610,1,5,1.0,0.16666666666666663,1354
Rhys Clark,Mark Davis,9,1170,1446,0.1459231082220553,0.3340330732481797,89,41,535,247,973,589,7007,3832,133,53,358,158,262,149,1276,718,5,4,0.0,0.5555555555555556,1354
Peter Ebdon,Ian Burns,9,1372,1225,0.7140324724419306,0.5908547524545942,1010,580,7984,4292,276,145,1746,897,173,91,966,529,155,72,584,276,0,5,1.0,0.0,1354
Joe Perry,Alfie Burden,9,1440,1292,0.7153313779464554,0.5914589784327802,931,553,6767,3660,611,329,4455,2297,296,162,1288,738,146,67,577,286,0,5,1.0,0.0,1354
Sam Baird,Stuart Bingham,9,1373,1544,0.2556369826454129,0.39472346622515553,284,152,1984,1027,965,612,7076,4033,248,128,727,376,408,249,1580,935,3,5,1.0,0.375,1354
Ryan Day,Ricky Walden,9,1417,1445,0.45702134894353696,0.48250714233361025,798,484,5611,3098,704,435,5062,2826,295,168,1350,756,308,175,1177,680,3,5,1.0,0.375,1354
Jimmy Robertson,Judd Trump,9,1382,1589,0.213656666445327,0.3734370028762818,400,217,2690,1400,754,506,5140,3014,181,105,857,468,332,200,1696,1037,1,5,1.0,0.16666666666666663,1354
Ben Woollaston,Noppon Saengkham,9,1337,1243,0.6413253712613816,0.5584811124381615,490,280,3203,1707,153,65,1099,505,219,107,915,474,178,86,688,326,4,5,1.0,0.4444444444444444,1354
Tian Pengfei,Michael Holt,9,1292,1476,0.2399742121031942,0.3869858238606645,315,178,2095,1121,723,428,5342,2859,103,40,664,362,387,218,1157,628,5,2,0.0,0.7142857142857143,1354
Matthew Selt,Martin O'Donnell,9,1397,1232,0.7369488869894566,0.6016871801828567,473,260,3301,1735,248,117,1525,758,186,100,1091,622,129,62,492,255,1,5,1.0,0.16666666666666663,1354
