player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage
Ali Carter,Barry Hawkins,19,1504,1534,0.4342344814976653,0.4812587841214648,1313,809,8852,4892,1338,837,9170,5141,183,98,1040,582,149,83,832,481,10,8,0.0,0.5555555555555556
Mark Allen,John Higgins,19,1569,1559,0.5220131658921434,0.5062496744995104,1068,710,7510,4273,1870,1319,14433,8513,173,98,1002,576,254,143,1218,701,10,7,0.0,0.5882352941176471
Gary Wilson,Zhang Anda,19,1492,1485,0.515413308375196,0.5043748883497735,723,416,4610,2484,473,246,3297,1687,186,103,818,433,120,60,747,421,10,8,0.0,0.5555555555555556
Mark Williams,Judd Trump,19,1478,1666,0.1507447566606252,0.3846162436088178,1780,1166,12973,7443,1437,1031,9868,5963,78,36,860,497,209,134,1430,874,10,4,0.0,0.7142857142857143
Ali Carter,Ronnie O'Sullivan,19,1504,1677,0.1706868229220263,0.3935295129316966,1313,809,8852,4892,1517,1159,13081,7986,183,98,1040,582,166,103,992,601,2,10,1.0,0.16666666666666663
Ding Junhui,Mark Allen,19,1524,1569,0.4019242967585691,0.47190462559161295,993,662,7614,4337,1068,710,7510,4273,134,71,865,485,173,98,1002,576,8,10,1.0,0.4444444444444444
Mark Williams,Mark Allen,19,1478,1569,0.3078845450726687,0.4433690400777466,1780,1166,12973,7443,1068,710,7510,4273,78,36,860,497,173,98,1002,576,10,5,0.0,0.6666666666666666
Gary Wilson,Ronnie O'Sullivan,19,1492,1677,0.15460052265320012,0.3863929221952217,723,416,4610,2484,1517,1159,13081,7986,186,103,818,433,166,103,992,601,7,10,1.0,0.4117647058823529
Mark Williams,Ronnie O'Sullivan,19,1478,1677,0.1371717618770862,0.3781283576925339,1780,1166,12973,7443,1517,1159,13081,7986,78,36,860,497,166,103,992,601,10,5,0.0,0.6666666666666666
Xing Zihao,Michael Holt,19,1097,1290,0.1444654281645159,0.3816619606697171,22,8,126,55,1004,568,6975,3684,26,11,126,55,0,0,263,138,10,6,0.0,0.625
Long Zehuang,Sydney Wilson,19,1202,1127,0.6604743044855522,0.5467381519846138,55,26,307,147,238,95,1367,624,42,21,148,69,14,5,130,68,10,1,0.0,0.9090909090909092
Gao Yang,Ishpreet Singh Chadha,19,1143,1189,0.3997919035904296,0.4712816430485603,62,24,351,157,33,18,185,101,0,0,172,87,42,20,185,101,10,6,0.0,0.625
Iulian Boiko,Alexander Ursenbacher,19,1200,1297,0.2963706286034379,0.43967035731144677,90,33,500,215,272,124,1639,783,23,13,266,138,24,10,311,150,0,10,1.0,0.0
Allan Taylor,Vladislav Gradinari,19,1208,1022,0.84669209107247,0.6141996427768951,434,197,2540,1209,8,5,28,17,28,12,318,132,0,0,28,17,10,6,0.0,0.625
Stan Moody,Mohammed Shehab,19,1121,1211,0.30982296807766996,0.4439861094553801,45,16,257,112,74,31,548,263,32,13,221,97,0,0,0,0,6,10,1.0,0.375
Bulcsú Révész,Sean O'Sullivan,19,1007,1097,0.3098229680776695,0.44398610945538,8,3,51,23,282,105,1759,772,0,0,51,23,25,10,259,100,10,8,0.0,0.5555555555555556
Anton Kazakov,Liam Pullen,19,941,1126,0.15460052265320012,0.3863929221952217,37,4,213,62,42,21,245,117,17,3,191,53,30,15,203,95,3,10,1.0,0.23076923076923073
Haydon Pinhey,Hammad Miah,19,1106,1240,0.2302315345047725,0.4170245457988005,99,44,516,241,281,113,1795,813,27,10,253,121,20,6,346,159,10,2,0.0,0.8333333333333334
Ahmed Aly Elsayed,Andres Petrov,19,923,1013,0.30982296807766996,0.4439861094553801,14,0,66,10,63,20,373,146,19,5,66,10,15,1,236,80,1,10,1.0,0.09090909090909083
Yisong Peng,Manasawin Phetmalaikul,19,1041,1011,0.5657655185023343,0.5187412158785352,41,11,244,90,50,17,276,114,24,6,244,90,20,6,131,54,10,5,0.0,0.6666666666666666
Andy Lee,Andrew Pagett,19,1085,1110,0.44511711689114164,0.4843800842769844,198,84,1188,534,337,146,2145,1007,19,5,288,120,39,17,312,122,9,10,1.0,0.4736842105263158
Ross Muir,Cheung Ka Wai,19,1212,1132,0.6705013585950822,0.549833997312478,281,111,1763,809,20,15,106,70,23,7,358,167,0,0,106,70,10,9,0.0,0.5263157894736842
Mohamed Ibrahim,Peter Lines,19,947,1245,0.05187179571776035,0.3219117504483725,32,5,197,61,913,472,6421,3283,17,3,163,52,0,0,218,98,6,10,1.0,0.375
Gong Chenzhi,Rod Lawler,19,1063,1163,0.29069055356175455,0.43782349911420193,14,8,96,51,937,481,6852,3476,9,4,96,51,17,3,247,109,7,10,1.0,0.4117647058823529
