player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage
Mark Allen,Aaron Hill,7,1555,1314,0.7938903058360224,0.6462280583309002,1079,717,7646,4348,125,58,731,353,309,173,1138,651,110,55,525,271,4,1,0.0,0.8
Kyren Wilson,Marco Fu,7,1589,1374,0.7680961089120268,0.6312306626164005,1054,672,6711,3786,972,568,7258,3930,512,291,1404,815,116,63,392,199,4,0,0.0,1.0
Chris Wakelin,David Grace,7,1459,1194,0.8160262378047215,0.6598217549720575,430,232,2734,1415,481,222,3147,1519,263,138,835,452,82,35,458,213,4,2,0.0,0.6666666666666666
Thepchaiya Un-Nooh,Ricky Walden,7,1441,1380,0.5827567809217526,0.5380512843858591,564,329,3894,2077,1169,691,7865,4301,123,65,641,349,246,126,924,488,4,3,0.0,0.5714285714285714
Judd Trump,Mark Davis,7,1671,1377,0.8405938136052916,0.6759015277259407,1458,1048,10084,6098,1316,782,9049,4918,425,269,1646,1009,127,69,509,254,4,2,0.0,0.6666666666666666
Elliot Slessor,Xu Si,7,1392,1336,0.5760654606907909,0.5349429451582145,379,186,2312,1141,201,86,1280,588,207,116,636,332,131,65,491,241,4,3,0.0,0.5714285714285714
Mark Selby,Yuan Sijun,7,1523,1432,0.622303251187688,0.5566309599222533,1567,1069,11181,6507,272,143,1731,896,313,175,1243,705,146,80,633,360,4,3,0.0,0.5714285714285714
Stan Moody,Zhang Anda,7,1174,1432,0.19026196310320587,0.3441171587921863,53,19,317,141,483,251,3390,1732,92,42,281,126,213,105,840,466,4,3,0.0,0.5714285714285714
Stephen Maguire,Stuart Bingham,7,1416,1436,0.4726790179572131,0.4875026035157896,1204,778,8802,4941,1507,951,10439,5911,176,93,671,356,257,133,951,503,4,3,0.0,0.5714285714285714
Oliver Lines,Akani Songsermsawad,7,1279,1355,0.3973295650806627,0.45264238185691075,372,176,2231,1086,232,125,1525,787,67,22,439,206,70,44,229,125,4,3,0.0,0.5714285714285714
Jak Jones,Iulian Boiko,7,1438,1170,0.8186786074572162,0.6615031592029524,403,200,2654,1274,105,40,587,255,308,171,817,441,110,53,353,178,4,1,0.0,0.8
John Higgins,Graeme Dott,7,1511,1341,0.7192100641468833,0.6046790847140093,1885,1328,14584,8591,1183,691,8481,4562,405,221,1369,779,126,68,649,343,4,2,0.0,0.6666666666666666
Lyu Haotian,Haris Tahir,7,1360,1063,0.8429989187038389,0.6775422953274692,339,172,2220,1106,14,9,88,46,133,61,687,369,63,34,88,46,4,2,0.0,0.6666666666666666
David Gilbert,Ashley Carty,7,1511,1266,0.7976923211673973,0.6485108747389209,954,561,6544,3545,278,129,1630,799,248,143,814,450,96,47,343,168,4,3,0.0,0.5714285714285714
Thor Chuan Leong,Neil Robertson,7,1203,1489,0.16594462836628154,0.3284949657745942,181,64,1132,498,1275,845,9340,5374,78,35,219,112,241,142,955,543,4,3,0.0,0.5714285714285714
Luca Brecel,Liam Davies,7,1447,1099,0.880033408790135,0.7047456979980911,643,374,4316,2334,43,20,260,121,117,59,828,451,63,30,234,111,4,1,0.0,0.8
Mark Allen,Ben Mertens,7,1555,1244,0.8538864678998308,0.6851410567502929,1079,717,7646,4348,100,46,610,304,309,173,1138,651,104,49,439,222,4,1,0.0,0.8
Judd Trump,Stephen Maguire,7,1671,1416,0.8070005952389404,0.654188113761243,1458,1048,10084,6098,1204,778,8802,4941,425,269,1646,1009,176,93,671,356,4,2,0.0,0.6666666666666666
Elliot Slessor,Kyren Wilson,7,1392,1589,0.2508331787523786,0.37930480863564453,379,186,2312,1141,1054,672,6711,3786,207,116,636,332,512,291,1404,815,4,2,0.0,0.6666666666666666
Mark Selby,Thepchaiya Un-Nooh,7,1523,1441,0.6105601107289808,0.551071269307342,1567,1069,11181,6507,564,329,3894,2077,313,175,1243,705,123,65,641,349,4,3,0.0,0.5714285714285714
Oliver Lines,Stan Moody,7,1279,1174,0.6403298636636867,0.5652507475670999,372,176,2231,1086,53,19,317,141,67,22,439,206,92,42,281,126,4,1,0.0,0.8
Jak Jones,Luca Brecel,7,1438,1447,0.48769738857442835,0.4943752372926745,403,200,2654,1274,643,374,4316,2334,308,171,817,441,117,59,828,451,4,2,0.0,0.6666666666666666
John Higgins,Thor Chuan Leong,7,1511,1203,0.8515999175968284,0.6835208937363156,1885,1328,14584,8591,181,64,1132,498,405,221,1369,779,78,35,219,112,4,0,0.0,1.0
David Gilbert,Lyu Haotian,7,1511,1360,0.6970755073607001,0.5932699921071872,954,561,6544,3545,339,172,2220,1106,248,143,814,450,133,61,687,369,4,3,0.0,0.5714285714285714
Mark Allen,Chris Wakelin,7,1555,1459,0.6287764284690306,0.5597136492671929,1079,717,7646,4348,430,232,2734,1415,309,173,1138,651,263,138,835,452,4,3,0.0,0.5714285714285714
