,id,year,url,name,status,category,city,country
0,4415,2020,https://cuetracker.net/tournaments/irish-womens-championship/2020/4415,2020 Irish Womens Championship,Amateur,National Championship,Newbridge,Ireland
1,4417,2020,https://cuetracker.net/tournaments/irish-womens-6-red-championship/2020/4417,2020 Irish Womens 6-red Championship,Amateur,National Championship,Newbridge,Ireland
2,4433,2020,https://cuetracker.net/tournaments/irish-womens-masters-championship/2020/4433,2020 Irish Womens Masters Championship,Amateur,National Championship,Newbridge,Ireland
3,4174,2020,https://cuetracker.net/tournaments/world-grand-prix/2020/4174,2020 World Grand Prix,Professional,Ranking,Milton Keynes,England
4,4165,2020,https://cuetracker.net/tournaments/scottish-open/2020/4165,2020 Scottish Open,Professional,Ranking,Milton Keynes,England
5,4159,2020,https://cuetracker.net/tournaments/hungarian-amateur-championship/2020/4159,2020 Hungarian Amateur Championship,Amateur,National Championship,Budapest,Hungary
6,4173,2020,https://cuetracker.net/tournaments/trinidad-and-tobago-amateur-championship/2020/4173,2020 Trinidad and Tobago Amateur Championship,Amateur,National Championship,St. Anns,Trinidad and Tobago
7,4152,2020,https://cuetracker.net/tournaments/uk-championship/2020/4152,2020 UK Championship,Professional,Ranking,Milton Keynes,England
8,4153,2020,https://cuetracker.net/tournaments/georgian-amateur-championship/2020/4153,2020 Georgian Amateur Championship,Amateur,National Championship,Unknown,Georgia
9,4151,2020,https://cuetracker.net/tournaments/romania-national-league-event-10/2020/4151,2020 Romania - National League - Event 10,Amateur,National Ranking,Bucharest,Romania
10,4145,2020,https://cuetracker.net/tournaments/new-zealand-amateur-championship/2020/4145,2020 New Zealand Amateur Championship,Amateur,National Championship,Papakura,New Zealand
11,4141,2020,https://cuetracker.net/tournaments/northern-ireland-open/2020/4141,2020 Northern Ireland Open,Professional,Ranking,Milton Keynes,England
12,4144,2020,https://cuetracker.net/tournaments/romania-national-league-event-9/2020/4144,2020 Romania - National League - Event 9,Amateur,National Ranking,Bucharest,Romania
13,4126,2020,https://cuetracker.net/tournaments/romania-national-league-event-8/2020/4126,2020 Romania - National League - Event 8,Amateur,National Ranking,Bucharest,Romania
14,4125,2020,https://cuetracker.net/tournaments/champion-of-champions/2020/4125,2020 Champion of Champions,Professional,Invitational,Milton Keynes,England
15,4114,2020,https://cuetracker.net/tournaments/estonian-amateur-championship/2020/4114,2020 Estonian Amateur Championship,Amateur,National Championship,Tallinn,Estonia
16,4115,2020,https://cuetracker.net/tournaments/romania-national-league-event-7/2020/4115,2020 Romania - National League - Event 7,Amateur,National Ranking,Bucharest,Romania
17,3861,2020,https://cuetracker.net/tournaments/english-under-21-championship/2020/3861,2020 English Under-21 Championship,Amateur,National Championship,Various,England
18,3893,2020,https://cuetracker.net/tournaments/english-under-18-championship/2020/3893,2020 English Under-18 Championship,Amateur,National Championship,Various,England
19,4086,2020,https://cuetracker.net/tournaments/new-zealand-masters-championship/2020/4086,2020 New Zealand Masters Championship,Amateur,National Championship,Pakura,New Zealand
20,4087,2020,https://cuetracker.net/tournaments/new-zealand-womens-championship/2020/4087,2020 New Zealand Womens Championship,Amateur,National Championship,Porirua,New Zealand
21,3521,2020,https://cuetracker.net/tournaments/romania-national-league-event-6/2020/3521,2020 Romania - National League - Event 6,Amateur,National Ranking,Bucharest,Romania
22,4080,2020,https://cuetracker.net/tournaments/russian-amateur-championship/2020/4080,2020 Russian Amateur Championship,Amateur,National Championship,Tyumen,Russia
23,4054,2020,https://cuetracker.net/tournaments/english-open/2020/4054,2020 English Open,Professional,Ranking,Milton Keynes,England
24,4022,2020,https://cuetracker.net/tournaments/german-grand-prix-event-1/2020/4022,2020 German Grand Prix - Event 1,Amateur,National Ranking,Hanover,Germany
25,3518,2020,https://cuetracker.net/tournaments/romania-national-league-event-5/2020/3518,2020 Romania - National League - Event 5,Amateur,National Ranking,Bucharest,Romania
26,4007,2020,https://cuetracker.net/tournaments/bulgarian-amateur-championship/2020/4007,2020 Bulgarian Amateur Championship,Amateur,National Championship,Sofia,Bulgaria
27,3946,2020,https://cuetracker.net/tournaments/finnish-amateur-championship/2020/3946,2020 Finnish Amateur Championship,Amateur,National Championship,Oulo,Finland
28,3947,2020,https://cuetracker.net/tournaments/swedish-amateur-championship/2020/3947,2020 Swedish Amateur Championship,Amateur,National Championship,Stockholm,Sweden
29,3945,2020,https://cuetracker.net/tournaments/european-masters/2020/3945,2020 European Masters,Professional,Ranking,Milton Keynes,England
30,4077,2020,https://cuetracker.net/tournaments/slovenian-amateur-championship/2020/4077,2020 Slovenian Amateur Championship,Amateur,National Championship,Ljubljana,Slovenia
31,3904,2020,https://cuetracker.net/tournaments/ukrainian-amateur-championship/2020/3904,2020 Ukrainian Amateur Championship,Amateur,National Championship,Kiev,Ukraine
32,3517,2020,https://cuetracker.net/tournaments/romania-national-league-event-4/2020/3517,2020 Romania - National League - Event 4,Amateur,National Ranking,Bucharest,Romania
33,3880,2020,https://cuetracker.net/tournaments/championship-league/2020/3880,2020 Championship League,Professional,Ranking,Milton Keynes,England
34,3510,2020,https://cuetracker.net/tournaments/northern-ireland-amateur-championship/2020/3510,2020 Northern Ireland Amateur Championship,Amateur,National Championship,Antrim,Northern Ireland
35,3822,2020,https://cuetracker.net/tournaments/welsh-under-21-championship/2020/3822,2020 Welsh Under-21 Championship,Amateur,National Championship,Merthyr Tydfil,Wales
36,4002,2020,https://cuetracker.net/tournaments/northern-ireland-under-21-championship/2020/4002,2020 Northern Ireland Under-21 Championship,Amateur,National Championship,Antrim,Northern Ireland
37,3826,2020,https://cuetracker.net/tournaments/welsh-under-18-championship/2020/3826,2020 Welsh Under-18 Championship,Amateur,National Championship,Merthyr Tydfil,Wales
38,3804,2020,https://cuetracker.net/tournaments/iceland-amateur-championship/2020/3804,2020 Iceland Amateur Championship,Amateur,National Championship,Reykjavik,Iceland
39,3802,2020,https://cuetracker.net/tournaments/welsh-under-16-championship/2020/3802,2020 Welsh Under-16 Championship,Amateur,National Championship,Merthyr Tydfil,Wales
40,3801,2020,https://cuetracker.net/tournaments/welsh-under-14-championship/2020/3801,2020 Welsh Under-14 Championship,Amateur,National Championship,Merthyr Tydfil,Wales
41,3794,2020,https://cuetracker.net/tournaments/world-seniors-championship/2020/3794,2020 World Seniors Championship,Pro-am,World Event,Sheffield,England
42,3891,2020,https://cuetracker.net/tournaments/turkish-amateur-championship/2020/3891,2020 Turkish Amateur Championship,Amateur,National Championship,Istanbul,Turkey
43,3692,2020,https://cuetracker.net/tournaments/isle-of-man-amateur-championship/2020/3692,2020 Isle of Man Amateur Championship,Amateur,National Championship,Various,Isle of Man
44,3754,2020,https://cuetracker.net/tournaments/q-school-event-3/2020/3754,2020 Q School - Event 3,Professional,Tour Qualifier,Sheffield,England
45,3753,2020,https://cuetracker.net/tournaments/q-school-event-2/2020/3753,2020 Q School - Event 2,Professional,Tour Qualifier,Sheffield,England
46,3752,2020,https://cuetracker.net/tournaments/q-school-event-1/2020/3752,2020 Q School - Event 1,Professional,Tour Qualifier,Sheffield,England
47,3806,2020,https://cuetracker.net/tournaments/baltic-snooker-league-event-2/2020/3806,2020 Baltic Snooker League - Event 2,Amateur,Event,Riga,Latvia
48,3697,2020,https://cuetracker.net/tournaments/danish-amateur-championship/2020/3697,2020 Danish Amateur Championship,Amateur,National Championship,Copenhagen,Denmark
49,3687,2020,https://cuetracker.net/tournaments/world-championship/2020/3687,2020 World Championship,Professional,Ranking,Sheffield,England
50,3755,2020,https://cuetracker.net/tournaments/moldova-amateur-championship/2020/3755,2020 Moldova Amateur Championship,Amateur,National Championship,Chisinau,Moldova
51,3685,2020,https://cuetracker.net/tournaments/challenge-tour-play-off/2020/3685,2020 Challenge Tour - Play-Off,Amateur,Event,Sheffield,England
52,3789,2020,https://cuetracker.net/tournaments/serbian-amateur-championship/2020/3789,2020 Serbian Amateur Championship,Amateur,National Championship,Belgrad,Serbia
