player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Bai Langning,Ashley Carty,5,1189,1243,0.4370057667393497,0.4663011645670992,41,14,257,114,214,102,1242,611,129,71,231,108,69,28,393,172,3,0,0.0,1.0,4494
Lukas Kleckers,Yan Bingtao,5,1152,1507,0.15217941866235618,0.291626008967673,137,51,776,333,276,178,1948,1087,59,21,286,122,172,98,868,483,3,2,0.0,0.6,4494
Mark King,Jamie Wilson,5,1310,1051,0.7747545345830869,0.6564468724566059,1061,584,7625,4001,36,14,160,67,72,33,499,240,71,30,160,67,3,1,0.0,0.75,4494
Pang Junxu,Jamie Clarke,5,1290,1347,0.43354050968264723,0.4644351620161461,55,27,335,160,245,122,1441,725,111,65,283,143,110,56,475,230,3,0,0.0,1.0,4494
Duane Jones,Nigel Bond,5,1250,1246,0.5046873828154295,0.5024999791668749,252,117,1507,736,949,508,7317,3790,174,96,447,211,84,42,414,186,3,1,0.0,0.75,4494
Jak Jones,Lyu Haotian,5,1292,1323,0.46372634214917396,0.4806346917700681,283,124,1770,800,225,108,1484,714,114,56,480,226,97,47,516,261,3,2,0.0,0.6,4494
Zhang Jiankang,Peter Lines,5,1060,1251,0.2882379316600041,0.38284263734702784,45,12,259,94,869,457,6145,3157,12,6,139,50,119,60,413,194,3,1,0.0,0.75,4494
Ashley Hugill,Kyren Wilson,5,1230,1514,0.20437512549644526,0.3295988401911314,176,77,974,459,801,504,5165,2887,75,33,286,136,439,231,1612,914,3,2,0.0,0.6,4494
Liam Highfield,Stuart Carrington,5,1349,1415,0.42317910919977986,0.45884333184977194,442,235,2970,1553,436,239,2771,1460,116,59,467,230,137,84,455,240,3,0,0.0,1.0,4494
John Higgins,Alexander Ursenbacher,5,1626,1393,0.751713104014929,0.6416424532015634,1652,1168,12966,7664,212,101,1283,616,303,185,1341,786,117,64,529,273,3,1,0.0,0.75,4494
Andy Hicks,Chang Bingyu,5,1209,1271,0.427777534253478,0.46132739479349205,693,370,5372,2770,62,26,395,184,67,29,355,165,100,50,317,152,3,1,0.0,0.75,4494
Stephen Hendry,Chris Wakelin,5,1380,1308,0.5836970593034508,0.5448788923735801,1273,896,11743,6899,280,143,1839,932,21,8,21,8,122,57,458,223,3,2,0.0,0.6,4494
Louis Heathcote,Yuan Sijun,5,1263,1368,0.3790368287562745,0.43474925243290014,119,55,629,311,164,79,1061,521,103,54,394,197,92,54,475,249,3,2,0.0,0.6,4494
Li Hang,Sam Craigie,5,1358,1440,0.4049053248517203,0.448928730692658,375,196,2587,1336,266,140,1562,818,85,34,570,298,142,80,481,260,3,0,0.0,1.0,4494
Ben Hancorn,Joe Perry,5,1110,1412,0.19014687605344524,0.31973280330135156,81,37,395,192,1267,747,8781,4769,75,30,205,98,216,112,1007,545,3,2,0.0,0.6,4494
Anthony Hamilton,Iulian Boiko,5,1333,985,0.843141529062091,0.7047456979980911,960,547,7124,3770,42,9,202,68,83,41,458,223,65,22,170,58,3,2,0.0,0.6,4494
David Grace,Mark Lloyd,5,1312,1044,0.7824150300650421,0.6615031592029524,408,190,2643,1285,21,9,101,48,63,27,435,217,78,42,101,48,3,2,0.0,0.6,4494
Martin Gould,Graeme Dott,5,1415,1424,0.4894544596699453,0.4943752372926745,809,484,5356,2926,1071,627,7785,4196,121,60,640,341,185,92,951,533,3,1,0.0,0.75,4494
David Gilbert,Matthew Stevens,5,1539,1394,0.6645179142785071,0.5896454785627312,806,468,5585,3005,1039,606,7912,4300,220,128,1107,614,73,37,479,257,3,0,0.0,1.0,4494
Michael Georgiou,Soheil Vahedi,5,1285,1229,0.5653050064173626,0.5349429451582145,304,144,1844,899,112,40,656,282,70,41,392,192,134,74,385,180,3,0,0.0,1.0,4494
Dylan Emery,Gao Yang,5,1083,1050,0.5386061841882444,0.5206133097144486,50,23,259,124,28,8,137,52,112,53,199,93,63,23,137,52,3,2,0.0,0.6,4494
Scott Donaldson,Dean Young,5,1337,1043,0.8036126269376143,0.6759015277259407,383,204,2481,1261,40,18,187,88,147,67,775,411,84,37,187,88,3,0,0.0,1.0,4494
Ken Doherty,Zak Surety,5,1289,1164,0.6429935752689471,0.5774953651858118,1220,722,9696,5268,173,80,957,455,75,32,425,200,56,21,196,97,3,0,0.0,1.0,4494
Mark Davis,Michael Holt,5,1384,1315,0.5802623027882189,0.5430183807243099,1231,739,8485,4636,951,542,6665,3523,138,74,595,307,83,33,535,274,3,2,0.0,0.6,4494
Dominic Dale,Xiao Guodong,5,1325,1457,0.3494118903890368,0.4182406231581638,1025,573,7154,3781,581,342,3748,2072,106,51,469,228,136,81,659,361,3,0,0.0,1.0,4494
Ali Carter,Peifan Lei,5,1547,1198,0.8438161813126877,0.7052656295907794,1131,690,7737,4269,64,32,359,174,258,159,991,542,154,86,359,174,3,2,0.0,0.6,4494
