player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id,p1_frames_win_rate,p2_frames_win_rate,p1_matches_win_rate,p2_matches_win_rate
Oshay Scott,Mark Joyce,7,998,1248,0.1976183221965223,0.3486451353339458,2,1,11,6,649,331,4471,2245,11,6,11,6,11,7,349,175,0,4,1.0,0.0,6803,0.5454545454545454,0.5021248042943414,0.5,0.5100154083204931
Arsenii Korolev,Halim Hussain,7,966,1019,0.4279607021974466,0.4669233776338953,3,0,15,3,22,11,120,58,6,2,15,3,23,14,78,44,1,4,1.0,0.1999999999999999,6803,0.2,0.48333333333333334,0.0,0.5
Ashley Hugill,Neal Jones,7,1299,1008,0.8381631906470501,0.6742564252229473,255,112,1542,738,168,75,1110,529,26,17,305,148,9,5,58,31,4,1,0.0,0.8,6803,0.4785992217898833,0.4765765765765766,0.4392156862745098,0.44642857142857145
Andrew Higginson,Logan Hall,7,1214,988,0.7792359029381558,0.637608652621925,904,515,6257,3372,1,0,5,1,76,36,432,208,5,1,5,1,4,0,0.0,1.0,6803,0.5389164136167492,0.2,0.5696902654867256,0.0
Luke Pinches,Anthony Hamilton,7,1001,1215,0.2329328755410799,0.3693514743489255,47,19,245,112,1068,601,7826,4109,9,4,54,29,72,32,436,201,2,4,1.0,0.3333333333333333,6803,0.45714285714285713,0.5250447227191414,0.40425531914893614,0.5627340823970037
Gary Filtness,Brandon Hall,7,1026,1001,0.534135239137421,0.5156199157230156,51,27,316,161,39,17,197,89,6,2,32,17,17,10,69,42,3,4,1.0,0.4285714285714286,6803,0.509493670886076,0.4517766497461929,0.5294117647058824,0.4358974358974359
Tony Knowles,Gerard Greene,7,939,1150,0.2360359621007717,0.3711001618483768,613,304,5018,2488,842,429,6014,3069,4,0,35,12,14,7,131,64,0,4,1.0,0.0,6803,0.4958150657632523,0.5103092783505154,0.49592169657422513,0.5095011876484561
Vladislav Gradinari,Edward Warr,7,1024,989,0.5477297445502348,0.5218610539716015,19,10,81,40,4,1,19,7,4,0,81,40,5,1,19,7,4,0,0.0,1.0,6803,0.49382716049382713,0.3684210526315789,0.5263157894736842,0.25
David Grace,Callum Beresford,7,1244,1039,0.75768573294214,0.6253923497205511,504,232,3294,1593,31,15,156,74,69,34,432,199,12,7,30,15,4,0,0.0,1.0,6803,0.48360655737704916,0.47435897435897434,0.4603174603174603,0.4838709677419355
Elias Martin-Beris,Manuel Ederer,7,965,1014,0.4333412855113351,0.469413239817919,6,1,29,9,9,4,46,23,7,3,29,9,10,6,46,23,2,4,1.0,0.3333333333333333,6803,0.3103448275862069,0.5,0.16666666666666666,0.4444444444444444
Alex Millington,Umut Dikme,7,1029,1090,0.4172432190782473,0.4619487156141408,37,17,212,105,52,27,283,143,25,13,62,31,29,18,118,59,0,4,1.0,0.0,6803,0.49528301886792453,0.5053003533568905,0.4594594594594595,0.5192307692307693
Peter Devlin,Nathan Jones,7,1121,999,0.661777191191235,0.5756643510425494,120,52,606,278,10,4,61,28,15,8,57,26,12,6,38,19,4,0,0.0,1.0,6803,0.45874587458745875,0.45901639344262296,0.43333333333333335,0.4
Umar Hayat Ali,Paul Deaville,7,983,1074,0.3776967488123119,0.4433690400777467,1,0,4,0,43,19,226,104,4,0,4,0,45,17,192,90,2,4,1.0,0.3333333333333333,6803,0.0,0.46017699115044247,0.0,0.4418604651162791
